date,PE,PE_TTM,PB_LF,VAL_PB_PERCENTILE,VAL_PE_PERCENTILE,PS,ROE_TTM,OPEN,CLOSE,HIGH,LOW,PCT_CHG,VOLUME
2013-07-15,39.201,36.04180145263672,1.8831000328063965,56.46753246753247,89.2987012987013,11.2999,8.1228,529.7464,541.3329,556.8104,522.1879,4.829635568259052,1510312167.0
2013-07-16,39.3995,36.22430038452149,1.8938000202178955,58.077922077922075,89.87012987012987,11.3571,8.1228,535.8921,543.9425,543.9517,531.8512,0.4820693514101952,812443102.0
2013-07-17,38.2602,34.72999954223633,1.8445999622344968,48.77922077922078,86.9090909090909,11.0287,8.1228,542.3419,528.2963,549.1679,528.2963,-2.876443741755797,767933484.0
2013-07-18,37.461,34.004600524902344,1.8061000108718872,44.0,85.50649350649351,10.7983,8.1228,524.3503,516.9601,529.1263,516.0693,-2.145803406156728,667086403.0
2013-07-19,36.1936,32.85400009155273,1.7450000047683716,36.623376623376615,83.74025974025973,10.433,8.1228,518.5062,499.6008,524.953,498.34,-3.357957412960888,731156267.0
2013-07-22,36.8305,33.853500366210945,1.7934999465942385,42.051948051948045,85.19480519480518,10.6166,8.1228,493.0499,508.034,508.2076,490.3324,1.687987689371194,548465367.0
2013-07-23,38.5525,35.41949844360352,1.8765000104904173,54.90909090909091,88.25974025974025,11.113,8.1228,509.6544,531.4217,535.9219,507.60900000000004,4.603569839813869,1046572597.0
2013-07-24,38.1812,35.078399658203125,1.8585000038146973,51.584415584415595,87.53246753246755,11.0059,8.1228,525.1097,526.26,530.4478,514.2648,-0.9713001934245432,787146089.0
2013-07-25,38.1897,35.08620071411133,1.85889995098114,51.714285714285715,87.58441558441557,11.0084,8.1228,529.2424,526.2715,538.3924,523.3131,0.0021852316345447945,764469408.0
2013-07-26,37.7149,34.650001525878906,1.8358000516891482,47.584415584415595,86.8051948051948,10.8715,8.1228,521.3937,519.985,525.967,515.8339,-1.194535520164009,483338187.0
2013-07-29,36.4307,33.46689987182617,1.7728999853134155,39.480519480519476,84.72727272727273,10.5013,8.1228,512.7337,501.9954,513.6658,501.9954,-3.459638258795926,498949281.0
2013-07-30,37.3256,34.382400512695305,1.816400051116944,45.03896103896104,86.18181818181819,10.7593,8.1228,506.6078,513.9809,526.1518,502.7826,2.387571678943672,719793562.0
2013-07-31,37.5202,34.57160186767578,1.825500011444092,46.18181818181818,86.59740259740259,10.8154,8.1228,522.3631,517.0607,531.1768,515.5951,0.599205145560852,610183443.0
2013-08-01,38.8689,35.81420135498047,1.891199946403504,57.714285714285715,88.88311688311687,11.2042,8.1228,521.7698,536.0246,538.1324,518.2059,3.66763515386104,846677447.0000001
2013-08-02,38.5654,35.534698486328125,1.8763999938964844,54.77922077922079,88.62337662337661,11.1167,8.1228,540.3305,531.8781,542.6385,530.0996,-0.7735652430877141,625461198.0
