date,PE,PE_TTM,PB_LF,VAL_PB_PERCENTILE,VAL_PE_PERCENTILE,PS,ROE_TTM,OPEN,CLOSE,HIGH,LOW,PCT_CHG,VOLUME,PE_TTM_CUR_PCT,PE_TTM_GLOBAL_PCT,PB_LF_CUR_PCT,PB_LF_GLOBAL_PCT
2013-12-26,62.6674,62.72710037231445,3.0002999305725098,39.305402425578826,29.21719955898568,2.6057,5.6071,6033.16,5941.8574,6033.16,5936.545,-1.484100873284321,388390183.0,0.0,28.99182561307902,0.0,38.85558583106267
2013-12-27,64.6747,64.73639678955078,3.087399959564209,41.51047409040794,35.336273428886436,2.6892,5.6071,5950.107,6114.4965,6122.193,5950.107,2.9054736318646817,547853256.0,100.0,35.258855585831064,100.0,41.03542234332425
2013-12-30,64.7214,64.783203125,3.089600086212158,41.67585446527012,35.391400220507165,2.6911,5.6071,6139.884,6127.1705,6168.215,6121.2019999999975,0.20727790096862395,475679504.0,100.0,35.3133514986376,100.0,41.19891008174387
2013-12-31,64.5039,64.56549835205078,3.079200029373169,41.124586549062855,35.005512679162074,2.6821,5.6071,6095.379,6096.0219,6131.1141,6066.8232,-0.5083684222595151,357413564.0,33.33333333333333,34.87738419618528,33.33333333333333,40.653950953678475
2014-01-02,65.245,65.30719757080078,3.1145999431610107,42.282249173098116,36.99007717750828,2.7129,5.6071,6086.2263,6177.7561,6180.5579,6075.6858,1.3407793039588634,393283942.0,100.0,37.05722070844686,100.0,41.798365122615806
2014-01-03,64.6523,64.71399688720703,3.0862998962402344,41.34509371554576,35.28114663726572,2.6883,5.6071,6159.5629,6133.7156,6186.1299,6100.712,-0.7128882928867839,445395970.0,40.0,35.20435967302452,40.0,40.87193460490463
2014-01-06,62.327,62.38650131225586,2.975300073623657,38.36824696802646,28.11466372657112,2.5916,5.6071,6108.4325,5914.1335,6108.4325,5910.4697,-3.579919812389093,459605976.0,0.0,27.84741144414169,0.0,37.9291553133515
2014-01-07,62.5999,62.65950012207031,2.9883000850677486,38.919514884233735,28.996692392502755,2.6029,5.6071,5883.5949,5943.918000000002,5966.3809999999985,5864.7032,0.5036156184164553,300904297.0,14.285714285714285,28.77384196185286,14.285714285714285,38.474114441416894
2014-01-08,63.7799,63.84080123901367,3.0446999073028564,40.35281146637266,32.57993384785006,2.652,5.6071,5962.9422,6057.7567,6086.9877,5961.6149,1.9152131641116217,452809962.0,37.5,32.42506811989101,37.5,39.89100817438692
2014-01-09,62.3535,62.36579895019531,2.976099967956543,38.53362734288864,28.00441014332965,2.5927,5.6071,6031.0943,5915.3921,6085.0539,5913.7471,-2.3501207963667454,406248428.0,0.0,27.68392370572207,11.11111111111111,38.09264305177112
