date,PE,PE_TTM,PB_LF,VAL_PB_PERCENTILE,VAL_PE_PERCENTILE,PS,ROE_TTM,OPEN,CLOSE,HIGH,LOW,PCT_CHG,VOLUME
2014-04-15,51.5612,49.79840087890625,4.8902997970581055,73.32165791009923,65.44074722708699,6.4484,6.3883,1636.91,1626.412,1642.247,1624.132,-0.5101691265708754,336510162.0
2014-04-16,50.3897,49.356201171875,4.8572998046875,72.21249270286047,63.806187974314064,6.2835,6.3883,1621.908,1621.918,1628.71,1613.469,-0.2763137507593489,269623746.0
2014-04-17,50.5308,49.2859992980957,4.863500118255615,72.3292469352014,63.4559252772913,6.2704,6.3883,1628.019,1631.538,1645.969,1628.019,0.593124929866992,327483672.0
2014-04-18,50.5596,49.56480026245117,4.89109992980957,73.38003502626971,64.74022183304145,6.2669,6.3883,1629.766,1642.574,1648.544,1626.125,0.676416975884108,306373736.0
2014-04-21,49.5655,48.851200103759766,4.8165998458862305,70.5195563339171,61.3543490951547,6.1585,6.3883,1631.532,1622.868,1652.031,1621.298,-1.1997024182776623,376325039.0
2014-04-22,49.1441,48.433998107910156,4.774199962615967,69.35201401050787,59.89492119089317,6.1061,6.3883,1618.643,1607.066,1633.236,1579.414,-0.9737082744868903,422384074.0
2014-04-23,48.1444,47.7140998840332,4.696400165557861,67.8342089900759,56.97606538237011,5.993,6.3883,1601.895,1584.214,1605.679,1576.397,-1.4219702239982732,330121554.0
2014-04-24,47.9713,46.6775016784668,4.6194000244140625,65.8493870402802,52.364273204903675,5.9714,6.3883,1584.398,1575.338,1587.523,1554.892,-0.5602778412512437,354886423.0
2014-04-25,46.5736,45.022499084472656,4.492000102996826,63.397548161120845,46.35143023934617,5.8047,6.3883,1570.85,1536.501,1573.882,1534.908,-2.4653122060154704,298798334.0
2014-04-28,44.9684,42.027000427246094,4.299900054931641,60.47869235259778,40.57209573847052,5.6024,6.3883,1522.991,1488.281,1525.374,1486.975,-3.138299291702383,347654651.0
2014-04-29,46.1973,43.042999267578125,4.351799964904785,61.17921774664331,42.265032107413894,5.6307,6.3883,1485.355,1511.766,1512.282,1485.272,1.5779950157262055,252004231.0
2014-04-30,47.0168,43.31100082397461,4.409999847412109,62.05487448920023,42.790426152948044,5.7305,6.3883,1513.254,1535.31,1543.158,1512.372,1.5573838808386924,276240830.0
2014-05-05,47.4557,43.715301513671875,4.451200008392334,62.63864565090485,43.49095154699358,5.784,6.3883,1533.167,1549.547,1550.024,1528.992,0.9273045834391804,263663414.0
2014-05-06,47.8653,44.09260177612305,4.491300106048584,63.28079392877992,44.13309982486865,5.834,6.3883,1549.132,1565.428,1575.67,1545.946,1.0248801746575023,312606336.0
2014-05-07,46.8953,43.199100494384766,4.401299953460693,61.99649737302977,42.556917688266196,5.7157,6.3883,1557.137,1529.309,1557.137,1528.913,-2.3072923187780043,286705256.0
2014-05-08,46.7843,43.0968017578125,4.391600131988525,61.70461179217747,42.49854057209574,5.7022,6.3883,1523.601,1525.128,1550.78,1520.077,-0.27339144672528837,251565062.0
2014-05-09,45.9554,42.33319854736328,4.3171000480651855,60.71220081727963,41.155866900175134,5.6012,6.3883,1525.492,1502.706,1529.187,1490.319,-1.4701716839504635,239588963.0
2014-05-12,46.9628,43.261199951171875,4.412199974060059,62.11325160537069,42.73204903677758,5.724,6.3883,1512.885,1533.146,1538.708,1502.338,2.0256790084021796,292058029.0
2014-05-13,47.1952,43.47529983520508,4.434000015258789,62.405137186223,43.02393461762989,5.7523,6.3883,1533.217,1543.773,1557.967,1532.271,0.6931499022271821,286434953.0
2014-05-14,47.2019,43.48149871826172,4.396699905395508,61.79217746643316,43.08231173380035,5.7531,6.3883,1542.955,1539.81,1551.498,1531.412,-0.2567087259590604,217420808.0
2014-05-15,46.4505,42.789398193359375,4.3267998695373535,60.828955049620546,41.85639229422067,5.6615,6.3883,1538.06,1514.527,1546.233,1514.227,-1.6419558257187512,261242625.0
2014-05-16,45.7561,42.14970016479492,4.263800144195557,59.60303561004087,40.80560420315236,5.5769,6.3883,1509.785,1488.919,1515.522,1474.267,-1.6908249242172606,255769170.00000003
2014-05-19,45.9894,42.364601135253906,4.285299777984619,60.12842965557501,41.21424401634559,5.6053,6.3883,1486.015,1492.396,1496.216,1472.99,0.23352512796195507,230422127.99999997
2014-05-20,46.4755,42.812400817871094,4.337100028991699,60.88733216579101,41.91476941039113,5.6646,6.3883,1504.374,1506.245,1524.669,1502.179,0.9279708602810469,292855325.0
2014-05-21,46.7315,43.04819869995117,4.3628997802734375,61.23759486281378,42.323409223584356,5.6958,6.3883,1498.825,1514.337,1515.628,1486.608,0.537229999103738,245420595.00000003
2014-05-22,46.918,43.220001220703125,4.380300045013428,61.471103327495626,42.67367192060712,5.7185,6.3883,1514.488,1522.31,1543.043,1514.441,0.5265010364271596,348283574.0
2014-05-23,47.8944,44.11940002441406,4.472799777984619,62.93053123175715,44.249854057209575,5.8375,6.3883,1522.153,1554.301,1554.836,1515.153,2.1014773600646377,360426929.0
2014-05-26,48.6622,44.826698303222656,4.545000076293945,64.56509048453006,46.00116754232341,5.9311,6.3883,1558.627,1578.986,1579.037,1557.767,1.5881737192474414,469113918.0
2014-05-27,48.0634,44.27510070800781,4.488999843597412,63.164039696439,44.71687098657326,5.8581,6.3883,1576.803,1560.306,1576.803,1558.702,-1.1830377216770802,368717155.0
2014-05-28,49.1657,45.29050064086914,4.577600002288818,65.03210741389375,46.99357851722125,5.9925,6.3883,1560.5,1597.04,1597.419,1559.67,2.3542817883158764,507993688.0
2014-05-29,48.1825,44.38479995727539,4.487100124359131,63.10566258026854,44.833625218914186,5.8726,6.3883,1596.995,1564.84,1600.814,1561.991,-2.0162300255472654,418805813.0
2014-05-30,48.1872,44.389198303222656,4.491499900817871,63.33917104495038,44.89200233508465,5.8732,6.3883,1570.328,1567.194,1574.462,1549.039,0.15043071496127666,430633574.0
2014-06-03,48.4583,44.63880157470703,4.51669979095459,63.98131932282545,45.53415061295972,5.9062,6.3883,1565.495,1574.474,1585.682,1565.367,0.4645244940958154,397853204.0
2014-06-04,48.5088,44.68539810180664,4.521399974822998,64.03969643899592,45.76765907764157,5.9124,6.3883,1575.053,1578.3,1578.434,1554.965,0.24300178980408835,406714842.0
